,application_number,sponsor_name,active_ingredient,brand_name,submission_type,submission_number,submission_status,submission_status_date,review_priority,submission_class_code,submission_class_code_description
21,NDA017395,HOSPIRA,DOPAMINE HYDROCHLORIDE,INTROPIN,ORIG,1,AP,19740225,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
161,NDA017463,MCNEIL CONSUMER,IBUPROFEN,MOTRIN,ORIG,1,AP,19740919,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
1146,NDA017551,MALLINCKRODT,POTASSIUM PERCHLORATE,PERCHLORACAP,ORIG,1,AP,19741121,STANDARD,TYPE 1,Type 1 - New Molecular Entity
1151,NDA017556,RANBAXY,HALCINONIDE,HALOG,ORIG,1,AP,19741127,STANDARD,TYPE 1,Type 1 - New Molecular Entity
1197,NDA017559,SCHERING,ALBUTEROL,PROVENTIL,ORIG,1,AP,19810501,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
1214,NDA017573,SCHERING,BECLOMETHASONE DIPROPIONATE,VANCERIL,ORIG,1,AP,19760512,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
1250,NDA017581,ATNAHS PHARMA US,NAPROXEN,NAPROSYN,ORIG,1,AP,19760311,STANDARD,TYPE 1,Type 1 - New Molecular Entity
1956,NDA017624,BAXTER HLTHCARE,ISOFLURANE,FORANE,ORIG,1,AP,19791218,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
2411,NDA017694,J AND J CONSUMER INC,LOPERAMIDE HYDROCHLORIDE,IMODIUM,ORIG,1,AP,19761228,STANDARD,TYPE 1,Type 1 - New Molecular Entity
2702,NDA017794,VALEANT INTL,LORAZEPAM,ATIVAN,ORIG,1,AP,19770930,STANDARD,TYPE 1,Type 1 - New Molecular Entity
2893,NDA007794,TEVA,DYPHYLLINE,NEOTHYLLINE,ORIG,1,AP,19510307,STANDARD,TYPE 1,Type 1 - New Molecular Entity
3073,NDA018116,ASTELLAS,AMCINONIDE,CYCLOCORT,ORIG,1,AP,19791018,STANDARD,TYPE 1,Type 1 - New Molecular Entity
4132,NDA018513,SIGMA TAU,CHENODIOL,CHENIX,ORIG,1,AP,19830728,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
4776,NDA018714,BAYER HLTHCARE,PRAZIQUANTEL,BILTRICIDE,ORIG,1,AP,19821229,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
5083,BLA103234,AMGEN,EPOETIN ALFA,EPOGEN/PROCRIT,ORIG,1,AP,19890601,UNKNOWN,TYPE 1,Type 1 - New Molecular Entity
5324,BLA103575,CENTOCOR INC,ABCIXIMAB,REOPRO,ORIG,1,AP,19941222,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
