,ligandId,name,type,approved,withdrawn,whoEssential,approvalSource,FDA,FDA_year
0,2779,"1,25-dihydroxyvitamin D3",Metabolite,True,False,False,FDA (1978),FDA,1978
1,1013,17&beta;-estradiol,Metabolite,True,False,False,"FDA (1954, prior history unavailable)",FDA,1954
2,4108,5&alpha;-pregnan-3&alpha;-ol-20-one,Metabolite,True,False,False,FDA (2019),FDA,2019
3,4784,5-aminolevulinic acid,Metabolite,True,False,False,FDA (1999)m EMA (2007),FDA,1999
4,4789,5-fluorouracil,Synthetic organic,True,False,True,FDA (1962),FDA,1962
5,6574,6-aminocaproic acid,Synthetic organic,True,False,False,FDA (1964),FDA,1964
6,11152,abacavir,Synthetic organic,True,False,True,"FDA (1998), EMA (1999)",FDA,1998
7,8299,abaloparatide,Peptide,True,False,False,FDA (2017),FDA,2017
8,1188,abarelix,Peptide,True,False,False,FDA (2003),FDA,2003
9,6891,abatacept,Peptide,True,False,False,"FDA (2005), EMA (2005)",FDA,2005
10,6584,abciximab,Antibody,True,False,False,FDA (1994),FDA,1994
11,7382,abemaciclib,Synthetic organic,True,False,False,"FDA (2017), EMA (2018)",FDA,2017
12,9288,abiraterone acetate,Synthetic organic,True,False,False,EMA & FDA (2011),FDA,2011
13,9991,abrocitinib,Synthetic organic,True,False,False,"UK, Japan & EMA (2021), FDA (2022)",FDA,2022
14,8912,acalabrutinib,Synthetic organic,True,False,False,"FDA (2017), EMA (2020)",FDA,2017
15,7106,acamprosate,Synthetic organic,True,False,False,FDA (2004),FDA,2004
16,6791,acarbose,Synthetic organic,True,False,False,"FDA (2007), UK (2009), Germany, France, Hungary, Poland, Portugal (2011)",FDA,2007
17,7107,acebutolol,Synthetic organic,True,False,False,FDA (1984),FDA,1984
19,6792,acetazolamide,Synthetic organic,True,False,True,FDA (1995),FDA,1995
20,6793,acetohexamide,Synthetic organic,True,False,False,FDA (1964),FDA,1964
21,10945,acetylcysteine,Synthetic organic,True,False,True,"FDA (1963), UK (1992)",FDA,1963
22,6794,acetyldigitoxin,Synthetic organic,True,False,False,FDA (2009),FDA,2009
23,4829,aciclovir,Synthetic organic,True,False,True,"FDA (1982, prior history not available)",FDA,1982
25,7598,acitretin,Synthetic organic,True,False,False,FDA (1996),FDA,1996
26,7449,aclidinium,Synthetic organic,True,False,False,FDA and EMA (2012),FDA,
27,3633,ACTH,Peptide,True,False,False,FDA (1950),FDA,1950
28,10888,adagrasib,Synthetic organic,True,False,False,FDA (2022),FDA,2022
29,4860,adalimumab,Antibody,True,False,True,"FDA (2002), EMA (2003)",FDA,2002
30,5429,adapalene,Synthetic organic,True,False,False,FDA (1996),FDA,1996
32,2844,adenosine,Metabolite,True,False,False,FDA (1989),FDA,1989
33,479,(-)-adrenaline,Metabolite,True,False,False,FDA (no history prior to 1951),FDA,
34,8325,aducanumab,Antibody,True,False,False,FDA (2021),FDA,2021
35,1324,afamelanotide,Peptide,True,False,False,"EMA (2014), FDA (2019)",FDA,2019
36,5667,afatinib,Synthetic organic,True,False,False,EMA & FDA (2013),FDA,2013
37,6786,aflibercept,Peptide,True,False,False,"FDA (2011), EMA (2012)",FDA,2011
40,7386,albiglutide,Peptide,True,False,False,FDA  and EMA (2014),FDA,
41,7587,alcaftadine,Synthetic organic,True,False,False,FDA (2010),FDA,2010
42,7739,alectinib,Synthetic organic,True,False,False,"FDA (2015), EMA (2017), Japan (unknown)",FDA,2015
43,6787,alefacept,Peptide,True,True,False,FDA (2003),FDA,2003
44,6770,alemtuzumab,Antibody,True,False,False,"FDA (2001), EMA (2013)",FDA,2001
45,3141,alendronate,Synthetic organic,True,False,False,"FDA (1995), EMA (2005)",FDA,1995
46,7108,alfentanil,Synthetic organic,True,False,False,FDA (1986),FDA,1986
47,7109,alfuzosin,Synthetic organic,True,False,False,FDA (2003),FDA,2003
48,7561,alglucosidase alfa,Peptide,True,False,False,"EMA (2006), FDA (2006)",FDA,2006
50,6744,alirocumab,Antibody,True,False,False,EMA & FDA (2015),FDA,2015
